;participant_id;experiment_option;lux_level;freq_gaming_background;fps_background;puzzle_background;doom_background;tetris_background;power_harvesting_background;device_type;performance_effort;temporal_frustration;effort_temporal;physical_frustration;performance_frustration;physical_temporal;performance_physical;mental_temporal;effort_frustration;mental_performance;performance_temporal;mental_effort;mental_physical;effort_physical;mental_frustration;tetris_a_experience_vs_doing;tetris_a_emotional_attachment;tetris_a_interest_in_progress;tetris_a_desire_to_speak;tetris_a_disappointment_when_interrupted;tetris_a_desire_to_play_again;tetris_a_mental_demand;tetris_a_physical_demand;tetris_a_hurried_pace;tetris_a_success_accomplishment;tetris_a_effort;tetris_a_insecurity_irritation;doom_a_experience_vs_doing;doom_a_emotional_attachment;doom_a_interest_in_progress;doom_a_desire_to_speak;doom_a_disappointment_when_interrupted;doom_a_desire_to_play_again;doom_a_mental_demand;doom_a_physical_demand;doom_a_hurried_pace;doom_a_success_accomplishment;doom_a_effort;doom_a_insecurity_irritation;doom_b_experience_vs_doing;doom_b_emotional_attachment;doom_b_interest_in_progress;doom_b_desire_to_speak;doom_b_disappointment_when_interrupted;doom_b_desire_to_play_again;doom_b_mental_demand;doom_b_physical_demand;doom_b_hurried_pace;doom_b_success_accomplishment;doom_b_effort;doom_b_insecurity_irritation;tetris_b_experience_vs_doing;tetris_b_emotional_attachment;tetris_b_interest_in_progress;tetris_b_desire_to_speak;tetris_b_disappointment_when_interrupted;tetris_b_desire_to_play_again;tetris_b_mental_demand;tetris_b_physical_demand;tetris_b_hurried_pace;tetris_b_success_accomplishment;tetris_b_effort;tetris_b_insecurity_irritation;most_enjoyed_doom_a;most_enjoyed_doom_b;most_enjoyed_tetris;paused_doom_a;paused_doom_b;paused_tetris;enjoyable_hmsam;fun_hmsam;boring_hmsam;boring_hmsam_reverse;annoying_hmsam;annoying_hmsam_reverse;pleasurable_hmsam;unsatisfied_hmsam;unsatisfied_hmsam_reverse;control_hmsam;freedom_hmsam;little_control_hmsam;little_control_hmsam_reverse;in_control_hmsam;no_control_hmsam;no_control_hmsam_reverse;allowed_control_hmsam;block_distractions_hmsam;absorbed_hmsam;immersed_hmsam;distracted_hmsam;distracted_hmsam_reverse;focused_hmsam;time_flew_hmsam;lost_time_hmsam;time_flew_playing_hmsam;curiosity_hmsam;curious_hmsam;imagination_hmsam;clear_interaction_hmsam;low_effort_hmsam;trouble_free_hmsam;easy_use_hmsam;easy_learn_hmsam;simple_use_hmsam;skillful_use_hmsam;easy_hmsam;stress_free_hmsam;pass_time_hmsam;useful_escape_hmsam;clear_thinking_hmsam;rejuvenated_hmsam;future_use_plan_hmsam;future_use_intent_hmsam;future_use_expect_hmsam;age;gender_identify;education_level;primary_hand;heard_battery_free;mistakes;mistakes_comment;total_crank_time;max_crank_power;mean_crank_power_when_active;number_of_fails;tetris_a_fails;doom_a_fails;doom_b_fails;tetris_b_fails
;1;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;231;At least once per month;Yes;Yes;No;Yes;Yes;Flashlight, calculator, camping light, ;Performance;Temporal Demand;Effort;Physical Demand;Performance;Physical Demand;Performance;Mental Demand;Effort;Mental Demand;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;6;4;7;3;6;5;14;5;13;15;12;12;6;5;6;3;6;5;18;10;20;17;14;15;5;5;6;3;4;6;14;7;13;6;12;7;No;Yes;Yes;Yes;Yes;Yes;5;5;2;6;5;3;5;2;6;4;5;2;6;5;4;4;5;5;5;5;2;6;5;6;5;4;5;5;6;5;5;3;2;4;5;5;6;4;5;5;4;5;5;5;5;21;Female;Bachelor's Degree;Right;No;No;;152426.0;0.7852;0.43162;8;;3;2;3
;2;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;132;At least once per week;Yes;Yes;No;Yes;Yes;both of the examples as well as other types of crank handle lights and lanterns;Effort;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Physical Demand;Temporal Demand;Frustration;Mental Demand;Temporal Demand;Effort;Mental Demand;Effort;Frustration;;;;;;;;;;;;;5;3;2;5;6;5;3;15;19;19;14;17;6;5;6;5;6;5;3;18;17;20;17;13;3;2;3;5;3;3;16;17;18;17;17;15;No;Yes;No;Yes;No;Yes;5;5;2;6;5;3;4;5;3;2;2;4;4;5;3;5;6;7;4;3;2;6;6;6;6;5;5;5;4;4;5;4;3;4;3;3;2;2;5;5;3;3;2;2;3;23;Female;Bachelor's Degree;Right;Yes;No;;314733.0;0.68316;0.18282;18;;8;3;7
;3;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;167;At least once per day;Yes;Yes;No;Yes;Yes;Casio calculator;Effort;Temporal Demand;Effort;Physical Demand;Performance;Physical Demand;Physical Demand;Mental Demand;Effort;Mental Demand;Temporal Demand;Mental Demand;Physical Demand;Physical Demand;Mental Demand;;;;;;;;;;;;;6;4;5;1;4;7;3;10;2;19;15;1;6;1;6;1;5;7;4;15;3;19;14;1;6;6;7;1;5;7;14;16;2;8;12;1;No;Yes;Yes;Yes;Yes;Yes;6;7;1;7;1;7;4;2;6;2;6;1;7;7;1;7;7;7;6;6;1;7;7;4;4;4;7;7;7;6;7;5;5;7;6;5;5;4;7;7;4;6;6;6;6;23;Non-Binary;Bachelor's Degree;A mix depending on the task;No;No;;259558.0;0.65825;0.23031;9;;3;2;4
;4;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;198;At least once per week;Yes;Yes;Yes;Yes;Yes;calculator casio;Effort;Temporal Demand;Effort;Physical Demand;Frustration;Physical Demand;Physical Demand;Mental Demand;Effort;Mental Demand;Performance;Effort;Mental Demand;Effort;Mental Demand;5;5;6;3;6;7;12;7;16;14;11;8;6;6;7;5;7;7;7;12;9;5;8;5;6;6;7;5;7;7;14;16;14;6;15;8;;;;;;;;;;;;;No;Yes;No;Yes;Yes;Yes;6;7;1;7;2;6;6;5;3;6;5;2;6;6;1;7;7;6;7;6;1;7;6;7;7;7;6;7;6;7;7;5;5;7;6;5;7;6;6;7;4;6;5;5;5;24;Male;Bachelor's Degree;Right;Yes;No;;171886.0;0.77701;0.37160;6;2;2;2;
;5;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;176;At least once per day;Yes;Yes;No;Yes;Yes;Calculator, Flashlight, Powerbank;Performance;Temporal Demand;Effort;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Frustration;;;;;;;;;;;;;6;7;7;6;7;7;11;17;17;5;10;4;7;7;7;6;7;7;12;15;17;13;12;6;6;7;6;6;5;6;15;10;17;9;13;6;Yes;No;No;Yes;Yes;Yes;7;7;1;7;2;6;7;1;7;6;7;1;7;7;2;6;7;7;7;7;1;7;7;7;7;7;7;7;6;6;7;3;6;7;5;6;6;5;7;7;4;6;5;5;3;23;Male;Master's Degree;Left;Yes;No;;166746.0;0.79887;0.36939;5;;2;1;2
;6;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;220;At least once per year;Yes;Yes;No;Yes;Yes;crank handle torch, watch, calculator, power bank;Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Effort;Frustration;;;;;;;;;;;;;3;2;2;2;2;2;6;10;8;6;9;4;6;5;5;4;7;6;7;12;15;7;15;9;6;4;5;5;6;6;8;13;6;8;14;7;No;Yes;No;Yes;Yes;Yes;7;7;2;6;2;6;6;3;5;6;6;2;6;6;2;6;6;7;7;7;2;6;7;6;6;6;7;7;6;7;6;6;6;7;7;7;6;4;6;6;4;5;6;5;5;24;Male;Bachelor's Degree;Right;No;No;;211013.0;0.75668;0.29378;3;;1;1;1
;7;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;194;At least once per year;No;Yes;No;Yes;Yes;hand powered flashlight and sun power calculator;Effort;Temporal Demand;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Mental Demand;Frustration;Mental Demand;Temporal Demand;Mental Demand;Mental Demand;Effort;Frustration;2;2;5;7;6;6;3;3;9;7;3;3;6;5;2;7;2;2;12;3;3;14;3;2;5;6;5;7;2;5;12;3;12;19;19;7;;;;;;;;;;;;;No;No;Yes;Yes;Yes;Yes;6;6;2;6;3;5;6;2;6;6;6;3;5;6;1;7;7;6;7;6;1;7;7;6;7;6;5;6;1;7;2;3;5;7;7;6;6;2;6;2;2;2;5;4;4;24;Female;Master's Degree;Right;No;No;;252682.0;0.69354;0.24198;5;3;1;1;
;8;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;132;At least once per year;Yes;Yes;No;Yes;Yes;Scientific Cslculator;Effort;Temporal Demand;Effort;Physical Demand;Performance;Temporal Demand;Performance;Mental Demand;Effort;Performance;Performance;Effort;Mental Demand;Effort;Mental Demand;6;5;6;3;4;6;4;15;10;17;13;6;6;4;6;3;4;6;14;14;9;9;15;10;5;5;5;4;3;4;15;18;8;5;18;15;;;;;;;;;;;;;No;No;Yes;No;No;No;5;5;2;6;3;5;4;2;6;5;5;2;6;6;2;6;6;6;5;5;2;6;5;6;6;5;6;6;5;6;5;2;5;6;5;5;6;4;5;4;5;7;5;6;5;29;Male;Master's Degree;A mix depending on the task;No;No;;233627.0;0.56031;0.23957;13;8;2;3;
;9;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;122;At least once per week;Yes;Yes;Yes;Yes;Yes;Calculator powered by solar panel;Effort;Temporal Demand;Temporal Demand;Physical Demand;Frustration;Temporal Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Frustration;;;;;;;;;;;;;3;2;5;4;5;6;8;16;11;18;18;8;6;6;6;5;7;7;7;15;10;14;14;8;4;3;2;2;3;3;13;9;13;14;17;14;No;Yes;No;Yes;Yes;Yes;3;4;5;3;5;3;2;6;2;4;2;5;3;4;3;5;5;3;6;6;2;6;6;6;6;5;6;5;5;6;6;2;5;7;7;7;7;4;4;3;5;3;3;2;2;24;Male;Bachelor's Degree;Right;Yes;No;;;;;;;;;
;10;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;123;At least once per week;Yes;Yes;Yes;Yes;Yes;;Effort;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;2;1;4;1;4;3;11;19;8;15;13;8;5;4;4;1;4;3;7;16;12;10;11;8;3;2;5;1;4;3;13;14;8;9;7;6;No;Yes;Yes;Yes;Yes;Yes;3;3;2;6;3;5;4;4;4;4;2;6;2;2;4;4;4;3;3;3;4;4;5;4;4;3;4;4;4;5;5;3;4;6;4;5;5;4;4;4;4;4;3;3;3;27;Male;Master's Degree;Right;No;No;;;;;;;;;
;11;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;287;At least once per year;Yes;Yes;Yes;Yes;Yes;Calculator, maybe some sort of solar powered light;Performance;Frustration;Effort;Physical Demand;Frustration;Physical Demand;Physical Demand;Temporal Demand;Frustration;Performance;Performance;Effort;Physical Demand;Physical Demand;Frustration;5;3;4;2;2;5;4;4;7;8;14;7;3;2;2;2;2;4;8;7;7;16;8;5;2;2;2;2;2;4;6;7;6;16;13;5;;;;;;;;;;;;;No;No;Yes;Yes;Yes;No;2;4;3;5;1;7;3;4;4;5;4;3;5;5;3;5;5;7;2;2;2;6;6;5;3;2;2;2;3;4;5;5;5;5;5;6;6;2;2;2;4;1;2;2;2;28;Male;Master's Degree;A mix depending on the task;Yes;Yes;Might be that I pressed the wrong thing on the Failure perfect scale ;122245.0;0.43296;0.14566;0;0;0;0;
;12;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;354;At least once per week;Yes;Yes;Yes;Yes;Yes;Watch with solar panel;Performance;Frustration;Effort;Frustration;Performance;Temporal Demand;Performance;Mental Demand;Frustration;Performance;Performance;Mental Demand;Mental Demand;Effort;Frustration;;;;;;;;;;;;;6;3;6;6;6;4;6;1;11;13;4;14;5;4;3;4;5;4;6;9;15;6;8;15;3;4;2;4;3;6;10;3;3;6;6;4;No;No;Yes;No;No;No;5;5;3;5;5;3;5;4;4;4;3;3;5;5;3;5;5;6;5;5;3;5;5;3;3;3;5;5;4;7;6;3;5;7;6;4;6;2;5;3;3;3;5;5;3;32;Male;Master's Degree;Right;Yes;Yes;Sometimes didn't observe the scale well. But I think I saw that and changed my answers accordingly.;65442.0;0.48025;0.11214;0;;0;0;0
;13;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;301;At least once per year;No;Yes;No;Yes;Yes;calculator powered by solar panel;Performance;Frustration;Temporal Demand;Physical Demand;Frustration;Physical Demand;Physical Demand;Temporal Demand;Frustration;Mental Demand;Temporal Demand;Mental Demand;Physical Demand;Physical Demand;Frustration;;;;;;;;;;;;;5;6;6;7;5;5;15;20;5;12;12;12;6;7;5;7;6;4;16;20;11;20;17;9;4;6;5;5;7;7;15;20;15;5;13;12;Yes;No;Yes;Yes;Yes;Yes;5;6;2;6;4;4;5;4;4;2;5;5;3;2;5;3;7;4;7;6;1;7;6;7;6;6;6;5;4;6;5;2;6;6;6;6;6;3;5;5;3;5;5;5;5;30;Female;Master's Degree;Right;Yes;Yes;the first perfomance tlx was the other way around;215387.0;0.5006;0.24651;3;;1;1;1
;14;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;194;Never;No;Yes;No;Yes;Yes;Calculator;Effort;Temporal Demand;Temporal Demand;Frustration;Frustration;Temporal Demand;Physical Demand;Temporal Demand;Frustration;Mental Demand;Temporal Demand;Effort;Physical Demand;Physical Demand;Frustration;;;;;;;;;;;;;5;4;5;4;7;7;14;20;16;21;14;20;7;6;7;7;7;7;14;17;21;11;19;19;5;5;6;6;6;7;16;16;9;9;15;15;No;Yes;No;No;No;No;1;3;1;7;7;1;2;6;2;1;1;7;1;1;7;1;1;1;6;6;2;6;6;6;6;6;6;6;5;4;4;2;2;2;2;2;2;2;5;5;3;3;3;3;3;27;Female;Master's Degree;Right;No;No;;187430.0;0.78499;0.34989;10;;2;4;4
;15;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;224;At least once per week;Yes;Yes;No;Yes;Yes;Solar powered calculators and I think I have used a hand powered flashlight a long time ago.;Effort;Frustration;Temporal Demand;Physical Demand;Frustration;Temporal Demand;Physical Demand;Temporal Demand;Frustration;Mental Demand;Temporal Demand;Mental Demand;Physical Demand;Physical Demand;Frustration;3;2;2;3;5;2;8;16;14;8;14;15;5;4;3;2;5;3;16;20;6;17;16;18;6;3;5;2;5;2;8;18;15;21;18;20;;;;;;;;;;;;;No;No;Yes;Yes;Yes;No;3;3;1;7;6;2;2;6;2;2;3;6;2;2;3;5;5;6;6;6;2;6;5;2;2;2;4;4;5;5;6;1;2;6;5;3;6;1;3;4;3;2;3;2;2;22;Female;Secondary/High School;Right;Yes;No;;;;;;;;;
;16;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;124;At least once per month;Yes;No;No;Yes;Yes;calculator;Effort;Frustration;Effort;Physical Demand;Frustration;Physical Demand;Performance;Mental Demand;Effort;Mental Demand;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;5;2;6;1;6;6;6;3;6;8;13;2;6;2;6;2;6;4;9;2;7;8;12;4;3;1;2;1;4;2;12;5;12;4;14;4;Yes;Yes;No;Yes;Yes;Yes;5;5;1;7;1;7;5;1;7;5;5;1;7;3;1;7;2;6;5;4;2;6;5;5;5;5;6;6;6;7;3;5;6;6;6;6;5;5;6;6;4;4;4;4;5;32;Female;Bachelor's Degree;Right;Yes;No;;232306.0;0.54216;0.21175;8;;2;1;5
;17;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;109;At least once per week;Yes;Yes;No;Yes;Yes;I have used solar powered calculator.;Performance;Frustration;Effort;Physical Demand;Frustration;Physical Demand;Physical Demand;Mental Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Effort;Frustration;6;7;7;5;6;6;16;16;12;8;12;12;6;7;6;7;5;5;10;13;12;10;12;9;7;7;7;7;5;5;19;19;18;13;19;19;;;;;;;;;;;;;No;Yes;No;No;Yes;Yes;5;5;2;6;2;6;5;2;6;3;3;4;4;5;2;6;2;5;3;5;2;6;5;5;6;6;5;5;3;6;6;5;6;6;6;6;6;5;6;6;5;5;3;3;3;29;Female;Master's Degree;Right;Yes;No;;;;;;;;;
;18;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;347;At least once per week;Yes;Yes;No;Yes;Yes;A crank handle torch and a solar panel-powered calculator.;Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;3;3;6;4;6;6;12;15;12;17;15;15;7;6;6;7;7;6;10;16;9;7;12;9;7;6;6;7;6;7;14;16;13;13;14;14;;;;;;;;;;;;;Yes;No;No;Yes;Yes;Yes;6;6;1;7;3;5;6;2;6;5;6;3;5;6;3;5;6;7;7;7;1;7;7;7;7;7;7;7;6;7;3;3;6;7;7;6;6;5;6;6;4;5;6;6;6;28;Female;Master's Degree;Left;Yes;No;;134275.0;0.75585;0.35343;10;4;5;1;
;19;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;402;At least once per year;Yes;Yes;No;Yes;Yes;"torches that you needed to shake or crank to charge.

solar powered calculators";Performance;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Temporal Demand;Frustration;Performance;Performance;Mental Demand;Mental Demand;Effort;Frustration;5;5;5;6;1;2;16;1;15;8;15;14;6;3;3;5;1;1;9;13;13;15;14;15;5;1;3;5;1;1;9;5;14;16;16;16;;;;;;;;;;;;;No;No;Yes;No;No;No;2;1;3;5;4;4;2;3;5;5;3;3;5;6;2;6;6;6;6;6;2;6;6;4;2;2;5;5;5;6;3;1;2;6;1;2;2;2;1;1;1;1;1;1;1;32;Male;Master's Degree;Right;Yes;No;;11381.0;0.21331;0.09483;0;0;0;0;
;20;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;422;At least once per week;Yes;Yes;No;Yes;Yes;"Anything solar powered. Calculators, battery packs, etc.
Hand powered flashlights.";Performance;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Mental Demand;Frustration;Performance;Temporal Demand;Effort;Mental Demand;Effort;Frustration;5;6;7;6;6;7;17;6;15;8;18;13;6;5;5;6;6;6;15;5;13;4;14;18;7;6;6;7;6;7;18;5;19;8;16;9;;;;;;;;;;;;;No;Yes;Yes;No;No;No;5;7;2;6;4;4;3;2;6;5;7;2;6;6;1;7;7;6;6;7;2;6;6;6;7;6;7;5;6;6;5;2;6;7;5;4;6;4;7;6;4;6;5;5;4;21;Male;Secondary/High School;Left;No;No;;82369.0;0.58043;0.15095;0;0;0;0;
;21;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;314;At least once per day;Yes;Yes;Yes;Yes;Yes;hand powered flashlight;Effort;Frustration;Effort;Frustration;Performance;Temporal Demand;Performance;Mental Demand;Effort;Performance;Performance;Effort;Mental Demand;Effort;Frustration;;;;;;;;;;;;;5;4;5;4;6;5;17;17;13;10;10;18;5;5;6;6;7;5;18;19;18;11;15;20;5;4;5;6;3;6;6;8;10;20;5;5;No;No;Yes;Yes;Yes;No;5;6;4;4;5;3;5;4;4;4;5;3;5;4;4;4;5;3;6;6;4;4;4;5;5;4;5;4;5;5;3;3;4;6;6;4;6;3;5;5;4;3;6;4;4;28;Male;Master's Degree;Right;Yes;No;;4616.0;0.09442;0.01826;0;;0;0;0
;22;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;326;At least once per month;Yes;Yes;No;Yes;Yes;a crank handle lamp;Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Effort;Mental Demand;3;5;7;1;6;7;16;18;20;4;15;13;6;7;7;7;7;6;9;13;7;8;7;7;6;6;7;7;7;6;12;10;14;14;15;15;;;;;;;;;;;;;No;No;Yes;No;Yes;No;5;6;2;6;3;5;4;4;4;5;6;3;5;6;2;6;6;6;7;7;1;7;6;6;7;7;5;5;4;6;3;3;6;7;7;6;7;3;6;6;3;6;3;3;3;21;Male;Higher National Qualification;Right;No;No;;111261.0;0.77026;0.40540;6;2;2;2;
;23;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;214;At least once per month;Yes;Yes;No;Yes;Yes;hand powered torch ();Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Mental Demand;Effort;Mental Demand;3;5;6;3;5;4;13;14;15;9;13;13;5;4;5;4;3;3;13;17;13;12;14;14;3;4;3;3;2;3;12;18;13;13;14;15;;;;;;;;;;;;;No;No;Yes;No;No;No;3;4;2;6;5;3;3;4;4;5;5;3;5;5;3;5;5;6;5;5;3;5;5;3;4;3;5;5;4;6;5;2;3;6;5;3;2;3;5;4;3;3;3;3;3;31;Male;Master's Degree;Left;No;No;;;;;;;;;
;24;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;130;At least once per month;Yes;Yes;Yes;Yes;Yes;calculator;Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Mental Demand;;;;;;;;;;;;;6;5;5;6;6;5;5;15;12;15;11;11;5;5;6;5;6;6;16;13;16;7;14;12;6;5;5;6;7;6;16;6;16;5;14;12;Yes;No;No;No;No;No;6;5;2;6;3;5;5;3;5;5;5;2;6;6;2;6;6;6;7;6;2;6;6;6;5;5;6;5;5;5;7;5;5;6;6;5;6;6;7;6;6;6;6;6;6;32;Male;Doctoral Degree;Right;Yes;No;;;;;;;;;
;25;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;50;At least once per month;Yes;Yes;No;Yes;Yes;flashlight and calculator;Effort;Frustration;Effort;Physical Demand;Performance;Physical Demand;Physical Demand;Mental Demand;Effort;Performance;Performance;Effort;Physical Demand;Effort;Mental Demand;5;2;3;1;1;4;6;13;8;13;4;8;2;2;5;2;4;3;7;14;13;2;12;9;2;2;4;1;4;3;7;9;12;2;12;10;;;;;;;;;;;;;No;No;Yes;No;No;No;3;4;2;6;3;5;3;3;5;3;2;4;4;3;4;4;3;4;5;5;3;5;4;2;2;2;6;6;5;6;5;3;5;6;5;5;5;3;3;3;3;2;2;2;2;20;Male;Secondary/High School;Right;Yes;No;;;;;;;;;
;26;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;41;At least once per day;Yes;Yes;No;Yes;Yes;i had both of the devices given as example (a hand powered flashlight or a calculator powered by a solar panel);Effort;Temporal Demand;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Temporal Demand;Effort;Mental Demand;Temporal Demand;Effort;Mental Demand;Effort;Frustration;6;4;5;6;3;4;15;12;13;1;6;12;7;5;6;4;6;7;13;8;6;1;5;12;6;5;5;5;6;7;14;15;14;3;13;10;;;;;;;;;;;;;Yes;Yes;No;No;No;No;5;7;1;7;2;6;5;2;6;5;6;2;6;6;1;7;7;7;7;6;1;7;7;7;7;7;5;5;3;7;6;5;5;7;7;6;5;6;7;7;4;5;5;5;4;20;Female;Secondary/High School;Right;Yes;No;;4405.0;0.14653;0.06098;0;0;0;0;
;27;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;64;At least once per day;Yes;Yes;No;Yes;Yes;A powerbank and a flashlight;Performance;Frustration;Temporal Demand;Frustration;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Performance;Effort;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;5;3;6;3;6;6;14;8;16;20;7;1;5;7;7;2;5;7;15;12;16;18;15;13;6;7;7;2;4;7;16;1;13;11;8;5;No;No;Yes;No;No;No;7;7;1;7;2;6;7;1;7;7;1;1;7;7;1;7;7;7;7;7;1;7;7;6;6;6;3;3;3;7;3;6;7;7;7;6;6;1;7;7;2;2;5;5;3;21;Male;Secondary/High School;Right;No;No;;88359.0;0.49088;0.11909;0;;0;0;0
;28;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;124;At least once per year;Yes;Yes;No;Yes;Yes;"I have some experience in using flashlights with rotating handles and crank handles as one of their
power sources, but they are considered as supplementary source of power (the main power is battery).";Effort;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Mental Demand;Frustration;Mental Demand;Temporal Demand;Mental Demand;Mental Demand;Effort;Frustration;;;;;;;;;;;;;5;6;7;7;7;7;6;21;20;11;21;18;2;5;6;7;7;6;6;19;18;11;18;14;7;3;1;2;7;6;5;21;18;11;14;7;No;No;Yes;Yes;Yes;Yes;5;4;3;5;2;6;5;3;5;4;6;3;5;4;2;6;6;1;6;7;7;1;7;6;6;6;5;3;4;6;6;2;3;5;3;6;4;2;6;4;3;7;6;6;6;26;Male;Master's Degree;Right;No;No;;337737.0;0.60946;0.17834;13;;5;4;4
;29;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;324;At least once per day;No;Yes;No;Yes;Yes;BayGen radio, human powered flashlights etcera;Effort;Frustration;Effort;Frustration;Frustration;Physical Demand;Physical Demand;Mental Demand;Effort;Mental Demand;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;7;5;5;3;6;4;18;4;15;20;15;17;6;2;6;5;4;2;15;6;6;21;15;17;7;6;6;6;4;3;21;4;20;19;19;18;;;;;;;;;;;;;No;No;Yes;No;No;Yes;2;4;1;7;5;3;3;5;3;1;3;5;3;2;6;2;6;7;7;6;1;7;7;7;6;6;2;2;2;3;3;3;2;1;2;1;5;1;7;2;1;5;2;1;1;60;Male;Doctoral Degree;Right;Yes;No;;;;;;;;;
;30;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;120;At least once per week;Yes;Yes;No;Yes;Yes;Camping light with a crank handle ;Effort;Temporal Demand;Temporal Demand;Frustration;Frustration;Temporal Demand;Physical Demand;Mental Demand;Effort;Mental Demand;Temporal Demand;Mental Demand;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;4;5;7;1;5;5;17;4;17;13;15;14;5;5;6;1;5;5;17;11;17;14;13;8;5;5;4;1;3;4;16;8;18;8;14;9;Yes;No;No;Yes;Yes;Yes;3;4;3;5;5;3;4;5;3;3;3;5;3;4;3;5;4;4;6;5;5;3;3;2;2;2;4;5;2;4;2;1;3;5;1;5;4;1;1;1;1;1;2;2;1;24;Female;Higher National Qualification;Right;No;No;;;;;;;;;
;31;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;117;At least once per week;Yes;Yes;Yes;Yes;Yes;"Hand Crank torch
Airhogs powered crank glider
casio calculators 991 series";Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Performance;Mental Demand;Mental Demand;Physical Demand;Mental Demand;;;;;;;;;;;;;5;4;6;3;7;6;7;7;12;13;10;9;5;4;6;3;5;5;13;10;14;20;13;15;6;6;4;5;7;6;12;8;8;9;9;8;No;No;Yes;No;No;No;5;6;2;6;4;4;5;4;4;3;3;3;5;5;3;5;6;6;7;7;3;5;5;6;4;5;4;5;7;7;6;6;7;7;6;5;5;6;6;5;4;5;5;4;5;28;Male;Bachelor's Degree;Right;No;No;;56780.0;0.25106;0.07732;0;;0;0;0
