;participant_id;experiment_option;lux_level;freq_gaming_background;fps_background;puzzle_background;doom_background;tetris_background;power_harvesting_background;device_type;performance_effort;temporal_frustration;effort_temporal;physical_frustration;performance_frustration;physical_temporal;performance_physical;mental_temporal;effort_frustration;mental_performance;performance_temporal;mental_effort;mental_physical;effort_physical;mental_frustration;tetris_a_experience_vs_doing;tetris_a_emotional_attachment;tetris_a_interest_in_progress;tetris_a_desire_to_speak;tetris_a_disappointment_when_interrupted;tetris_a_desire_to_play_again;tetris_a_mental_demand;tetris_a_physical_demand;tetris_a_hurried_pace;tetris_a_success_accomplishment;tetris_a_effort;tetris_a_insecurity_irritation;doom_a_experience_vs_doing;doom_a_emotional_attachment;doom_a_interest_in_progress;doom_a_desire_to_speak;doom_a_disappointment_when_interrupted;doom_a_desire_to_play_again;doom_a_mental_demand;doom_a_physical_demand;doom_a_hurried_pace;doom_a_success_accomplishment;doom_a_effort;doom_a_insecurity_irritation;doom_b_experience_vs_doing;doom_b_emotional_attachment;doom_b_interest_in_progress;doom_b_desire_to_speak;doom_b_disappointment_when_interrupted;doom_b_desire_to_play_again;doom_b_mental_demand;doom_b_physical_demand;doom_b_hurried_pace;doom_b_success_accomplishment;doom_b_effort;doom_b_insecurity_irritation;tetris_b_experience_vs_doing;tetris_b_emotional_attachment;tetris_b_interest_in_progress;tetris_b_desire_to_speak;tetris_b_disappointment_when_interrupted;tetris_b_desire_to_play_again;tetris_b_mental_demand;tetris_b_physical_demand;tetris_b_hurried_pace;tetris_b_success_accomplishment;tetris_b_effort;tetris_b_insecurity_irritation;most_enjoyed_doom_a;most_enjoyed_doom_b;most_enjoyed_tetris;paused_doom_a;paused_doom_b;paused_tetris;enjoyable_hmsam;fun_hmsam;boring_hmsam;boring_hmsam_reverse;annoying_hmsam;annoying_hmsam_reverse;pleasurable_hmsam;unsatisfied_hmsam;unsatisfied_hmsam_reverse;control_hmsam;freedom_hmsam;little_control_hmsam;little_control_hmsam_reverse;in_control_hmsam;no_control_hmsam;no_control_hmsam_reverse;allowed_control_hmsam;block_distractions_hmsam;absorbed_hmsam;immersed_hmsam;distracted_hmsam;distracted_hmsam_reverse;focused_hmsam;time_flew_hmsam;lost_time_hmsam;time_flew_playing_hmsam;curiosity_hmsam;curious_hmsam;imagination_hmsam;clear_interaction_hmsam;low_effort_hmsam;trouble_free_hmsam;easy_use_hmsam;easy_learn_hmsam;simple_use_hmsam;skillful_use_hmsam;easy_hmsam;stress_free_hmsam;pass_time_hmsam;useful_escape_hmsam;clear_thinking_hmsam;rejuvenated_hmsam;future_use_plan_hmsam;future_use_intent_hmsam;future_use_expect_hmsam;age;gender_identify;education_level;primary_hand;heard_battery_free;mistakes;mistakes_comment;total_crank_time;max_crank_power;mean_crank_power_when_active;number_of_fails;tetris_a_fails;doom_a_fails;doom_b_fails;tetris_b_fails
;51;Battery-free/Crank input --- Tetris - DOOM A - DOOM B;152;At least once per week;Yes;Yes;Yes;Yes;Yes;both the objects that you describe. Maybe also a flashlight that you can shake to light it ;Effort;Temporal Demand;Effort;Physical Demand;Frustration;Physical Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Mental Demand;5;6;5;1;6;6;13;15;11;2;14;12;6;4;5;1;6;5;15;18;16;4;16;15;4;4;5;1;3;5;17;14;15;15;17;15;;;;;;;;;;;;;Yes;No;Yes;No;No;No;5;6;1;7;3;5;5;4;4;5;3;6;2;2;2;6;6;5;6;6;2;6;6;5;5;5;6;5;6;6;2;2;2;6;3;3;3;2;6;4;3;5;5;4;2;30;Male;Master's Degree;Right;Yes;No;;175324.0;0.71306;0.25802;4;1;2;1;
;52;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;208;At least once per year;Yes;Yes;Yes;Yes;Yes;calculator, medical thermometer,...;Performance;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Mental Demand;Frustration;Mental Demand;Performance;Mental Demand;Mental Demand;Effort;Frustration;;;;;;;;;;;;;4;2;2;2;3;4;13;12;10;16;15;12;5;5;4;3;3;5;14;16;13;16;16;13;6;2;5;2;2;3;6;6;13;7;14;7;No;Yes;No;No;No;No;5;5;4;4;4;4;5;5;3;5;2;1;7;1;1;7;1;2;3;1;2;6;4;2;1;1;6;6;5;5;3;1;6;6;2;1;4;4;2;2;1;1;4;6;6;35;Male;Master's Degree;Right;No;No;;28412.0;0.30251;0.11576;0;;0;0;0
;53;Battery-free/No crank input --- DOOM A - DOOM B - Tetris;197;At least once per month;Yes;Yes;Yes;Yes;Yes;;Effort;Temporal Demand;Effort;Physical Demand;Performance;Physical Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Effort;Frustration;;;;;;;;;;;;;5;4;5;5;5;5;7;13;9;9;13;11;5;5;5;5;6;6;6;17;14;13;14;12;6;6;6;5;6;6;9;10;10;9;10;9;No;No;Yes;Yes;Yes;Yes;5;5;3;5;4;4;5;5;3;3;5;3;5;5;3;5;5;5;5;5;3;5;3;5;5;5;5;5;5;6;6;3;6;7;7;7;5;5;5;6;5;5;5;5;4;25;Male;Bachelor's Degree;Left;No;No;;240061.0;0.75982;0.28959;6;;2;2;2
;54;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;104;At least once per month;Yes;Yes;Yes;Yes;Yes;hand powered flashlight;Performance;Temporal Demand;Temporal Demand;Physical Demand;Performance;Temporal Demand;Performance;Mental Demand;Effort;Mental Demand;Performance;Mental Demand;Mental Demand;Physical Demand;Mental Demand;7;5;6;3;7;7;17;5;15;9;15;1;2;2;5;2;2;1;4;11;4;17;8;14;5;2;5;3;5;3;5;15;15;16;16;15;;;;;;;;;;;;;No;No;Yes;No;No;No;5;5;3;5;1;7;5;2;6;5;2;3;5;2;2;6;5;6;6;6;2;6;5;5;6;6;5;5;4;6;6;6;3;6;4;2;4;5;5;5;4;5;4;4;4;28;Male;Master's Degree;Right;Yes;No;;9228.0;0.18793;0.05986;0;0;0;0;
;55;Battery-powered/Crank input --- DOOM A - DOOM B - Tetris;131;At least once per week;Yes;Yes;Yes;Yes;Yes;;Performance;Frustration;Effort;Frustration;Performance;Physical Demand;Performance;Mental Demand;Effort;Performance;Performance;Mental Demand;Mental Demand;Effort;Mental Demand;;;;;;;;;;;;;4;2;2;1;6;1;12;12;14;17;16;21;4;5;4;4;5;4;12;13;13;11;13;9;5;5;5;5;2;2;4;3;3;15;4;1;No;Yes;No;No;Yes;No;4;3;5;3;5;3;4;3;5;3;3;3;5;5;3;5;5;5;4;4;3;5;5;5;6;6;3;3;3;5;5;4;3;5;5;4;5;4;6;6;3;4;2;2;1;29;Male;Doctoral Degree;Right;Yes;No;;;;;;;;;
;56;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;98;At least once per week;Yes;Yes;Yes;Yes;Yes;Calculator, flashlight, phone cover with solar panel at the back, front light of my bike with dinamo ;Performance;Temporal Demand;Effort;Physical Demand;Performance;Physical Demand;Physical Demand;Temporal Demand;Effort;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Mental Demand;6;5;7;5;5;7;13;8;3;2;3;1;4;3;3;2;3;3;17;17;13;17;17;3;2;2;2;1;1;2;17;18;16;21;20;5;;;;;;;;;;;;;No;No;Yes;Yes;Yes;Yes;6;6;2;6;2;6;7;2;6;5;5;3;5;6;2;6;6;7;5;5;2;6;5;4;5;5;6;6;4;7;5;3;5;7;6;6;7;3;6;5;3;3;5;5;3;31;Male;Doctoral Degree;A mix depending on the task;No;No;;136950.0;0.80136;0.37884;1;0;0;1;
;57;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;130;Never;No;Yes;No;Yes;Yes;Bike dynamo;Performance;Frustration;Temporal Demand;Frustration;Performance;Temporal Demand;Performance;Mental Demand;Frustration;Mental Demand;Performance;Mental Demand;Mental Demand;Effort;Frustration;;;;;;;;;;;;;3;6;3;7;7;6;6;14;9;19;13;17;5;7;6;7;7;6;14;15;18;18;9;19;5;5;3;4;2;5;20;19;16;19;8;18;No;Yes;No;No;No;No;5;6;1;7;6;2;6;5;3;3;3;4;4;5;1;7;5;4;7;7;2;6;5;6;7;6;7;7;2;6;1;3;5;3;3;2;5;2;6;7;2;2;6;6;6;29;Female;Master's Degree;Right;No;No;;212638.0;0.67103;0.15281;7;;2;2;3
;58;Battery-free/No crank input --- Tetris - DOOM A - DOOM B;154;At least once per week;No;Yes;No;Yes;No;;Performance;Temporal Demand;Temporal Demand;Frustration;Performance;Temporal Demand;Performance;Temporal Demand;Effort;Performance;Temporal Demand;Mental Demand;Mental Demand;Effort;Mental Demand;5;5;3;2;4;3;7;10;13;11;10;12;5;3;5;3;5;4;13;13;12;16;12;10;5;4;5;4;5;4;12;13;13;16;13;13;;;;;;;;;;;;;Yes;No;No;Yes;Yes;Yes;5;5;2;6;3;5;5;3;5;3;5;3;5;4;3;5;5;5;6;5;3;5;5;6;5;5;5;6;4;5;5;3;3;5;4;4;5;3;4;5;3;5;5;5;4;45;Female;Doctoral Degree;Right;No;No;;182858.0;0.65284;0.26127;4;1;2;1;
;59;Battery-free/Crank input --- DOOM A - DOOM B - Tetris;185;Never;No;No;No;No;No;;Effort;Frustration;Temporal Demand;Frustration;Frustration;Temporal Demand;Performance;Mental Demand;Frustration;Mental Demand;Temporal Demand;Mental Demand;Mental Demand;Physical Demand;Frustration;;;;;;;;;;;;;5;5;1;6;1;1;19;3;2;21;2;21;7;7;1;7;1;1;2;2;2;21;6;20;7;4;1;6;1;1;4;1;1;21;1;21;No;No;Yes;No;No;Yes;4;4;2;6;6;2;3;4;4;1;1;7;1;7;6;2;1;5;5;5;3;5;5;2;5;2;1;1;1;1;1;2;1;1;1;1;1;5;4;1;1;1;1;1;1;50;Female;Master's Degree;Right;No;No;;76770.0;0.6532;0.13194;7;;2;3;2
;60;Battery-powered/Crank input --- Tetris - DOOM A - DOOM B;154;At least once per week;Yes;Yes;No;Yes;Yes;Calculator CASIO. Large flashlight. ;Performance;Frustration;Temporal Demand;Physical Demand;Frustration;Physical Demand;Physical Demand;Temporal Demand;Frustration;Performance;Temporal Demand;Effort;Physical Demand;Physical Demand;Frustration;1;4;4;5;7;7;2;11;11;1;2;1;5;2;7;7;6;7;8;21;21;21;8;17;6;2;7;7;6;7;11;21;21;21;11;17;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;No;5;7;1;7;2;6;5;2;6;6;2;2;6;6;2;6;2;6;6;6;2;6;6;4;4;4;2;2;6;4;3;2;3;3;3;1;3;5;5;5;1;1;5;5;5;33;Female;Master's Degree;Right;Yes;No;;32447.0;0.40765;0.06966;0;0;0;0;
